Authors,Publication Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression Units,Sample Size,Stat Test,Test Statistic,df1,df2,p-value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 1,Gallus gallus domesticus,vertebrate,white,,red,body,carotenoid,,mature,females,domestic,year round,,chase and attack,10,mean,,,,,,5,40.6,,,6.8,5,24.8,,,12.89
"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 2,Gallus gallus domesticus,vertebrate,white,,red,body,carotenoid,,mature,females,domestic,year round,,peak and threat,10,mean,,,,,,5,236.6,,,33.49,5,158.4,,,45.57
"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al 2011,Gallus gallus domesticus,vertebrate,small,,large,comb,carotenoid,,mature,females,domestic,year round,,dominance score,120,F,13.68,1,110,0.001,,,,,,,,,,,
"O'Connor, KI; Metcalfe, NB; Taylor, AC",1999,O'Connor et al 1999,Salmo salar,vertebrate,light grey,slate grey,dark grey,body,melanocortin,,mature,both,captivity,year round,,score,33,r,,,,0.19,-0.23,,,,,,,,,,
"Petrocelli, I; Ricciardi, G; de Souza, AR; Ermanni, A; Ninu, A; Turillazzi, S",2015,Petrocelli et al 2015,Polistes gallicus,invertebrate,small black,,large black,head,melanocortin,,mature,females,captivity,year round,,dominance,42,X2,4.011,1,,0.042,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 1,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,strange dogs,428,t,2.582,427,,0.01,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 3,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,approaching owner away from home,426,t,2.774,425,,0.01,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 4,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,toward children,142,t,3.365,141,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 6,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,attention on others in house,425,t,3.336,424,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 7,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,toward owner or family,428,t,4.988,427,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 8,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,when disciplined,427,t,4.524,426,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 9,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,when reached for or handled,428,t,3.161,427,,0.01,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 10,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,when in restricted spaces,423,t,2.4,422,,0.05,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 11,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,meal times,426,t,3.492,425,,0.001,,,,,,,,,,,
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 12,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,,both,both,domestic,year round,,no reason,428,t,3.643,427,,0.001,,,,,,,,,,,
"Pryke, SR; Griffith, SC",2009,Pryke and Griffith 2009,Erythrura gouldiae,vertebrate,black,,red,face,melanocortin,,juvenile,females,lab,year round,,time,76,F,14.32,1,75,0.001,,,,,,,,,,,
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 1,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar brightness,carotenoid,,mature,males,field,year round,,number of interactions,33,r,,,,NS,-0.23,,,,,,,,,,
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 2,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar hue,carotenoid,,mature,males,field,year round,,number of interactions,33,r,,,,0.001,-0.47,,,,,,,,,,
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 3,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar chroma,carotenoid,,mature,males,field,year round,,number of interactions,33,r,,,,NS,-0.14,,,,,,,,,,
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 4,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar area,carotenoid,,mature,males,field,year round,,number of interactions,43,r,,,,0.001,-0.65,,,,,,,,,,
"Reiter, MK; Anthony, CD; Hickerson, CAM",2014,Reiter et al 2014,Plethodon cinereus,vertebrate,unstriped black,,striped red,dorsal,melanocortin,,mature,males,captivity,year round,,seconds,60,t,2.51,29,,0.012,,,,,,,,,,,
"Renn, SCP; Fraser, EJ; Aubin-Horth, N; Trainor, BC; Hofmann, HA",2012,Renn et al 2012,Astatotilapia burtoni,vertebrate,no black,,black,face,melanocortin,,mature,females,lab,year round,,number of chases,36,mean,,,,,,21,0.84,,0.16,0.733212111,15,11.46,,0.86,3.330765678
"Robertson, JM; Rosenblum, EB",2010,Robertson and Rosenblum 2010,Sceloporus undulatus,vertebrate,light,,dark,body,carotenoid,,mature,males,field,year round,,seconds,40,mean,,,,,,20,27.528,,3.964,17.72754693,20,17.913,,3.776,16.88678537
"Rodriguez-Barreto, D; Rey, O; Uren-Webster, TM; Castaldo, G; Consuegra, S; de Leaniz, CG",2019,Rodriguez-Barreto et al 2019,Oreochromis niloticus,vertebrate,lighter,,darker,body,carotenoid,,mature,both,lab,year round,,number of interactions,120,mean,,,,,,60,28.63,,5.93,45.93358249,60,7.11,,2.09,16.18907039
"Rose, P; Soole, L",2020,Rose and Soole 2020,Phoeniconaias minor,vertebrate,white,,pink,body,carotenoid,,mature,both,captivity,year round,,seconds,45,F,6.45,4,40,0.00004,0.33,,,,,,,,,,
"Rudh, A; Breed, MF; Qvarnstrom, A",2013,Rudh et al 2013,Dendrobates pumilio,vertebrate,green,,red,body,carotenoid,,mature,males,field,year round,,score,70,mean,,,,,,35,0.438,,0.225,1.331117951,35,0.745,,0.052,0.307636149
"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 1,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,,mature,males,lab,year round,,number of charges,85,mean,,,,,,70,6.703,,,1.058,15,9.937,,,3.293
"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 2,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,,mature,males,lab,year round,,number of lateral displays,85,mean,,,,,,70,3.468,,,0.803,15,1.783,,,0.431
"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 3,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,,mature,males,lab,year round,,number of tail beats,85,mean,,,,,,70,4.645,,,0.941,15,9.761,,,3.47
"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 4,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,,mature,males,lab,year round,,number of bites,85,mean,,,,,,70,325.038,,,42.573,15,457.507,,,135.023
"Seddon, RJ; Hews, DK",2017,Seddon and Hews 2017,Sceloporus occidentalis,vertebrate,white,,black,chest,melanocortin,,mature,males,field,year round,,physical contact/retreat,78,F,22.42,1,57,0.001,,,,,,,,,,,
"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 1,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,,mature,males,field,year round,,chemosensory,30,t,2.08,14,,0.047,,,,,,,,,,,
"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 2,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,,mature,males,field,year round,,reposition,30,t,3.221,14,,0.003,,,,,,,,,,,
"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 3,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,,mature,males,field,year round,,head-bob bouts,30,t,2.5,14,,0.035,,,,,,,,,,,
"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 4,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,,mature,males,field,year round,,fullshow bouts,30,t,2.42,14,,0.022,,,,,,,,,,,
"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 5,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,,mature,males,field,year round,,charge,30,t,2.213,14,,0.035,,,,,,,,,,,
"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 6,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,,mature,males,field,year round,,biting,30,t,2.04,14,,0.051,,,,,,,,,,,
"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 7,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,,mature,males,field,year round,,rate of move toward,30,t,0.42,14,,0.681,,,,,,,,,,,
"Stapley, J",2006,Stapley 2006,Pseudemoia entrecasteauxii,vertebrate,white,,orange,ventral,carotenoid,,mature,males,captivity,year round,,interactions,32,F,22.46,1,31,0.001,,,,,,,,,,,
"Suter, HC; Huntingford, FA",2002,Suter and Huntingford 2002,Salmo salar,vertebrate,pale,,dark,eyes,none,,juvenile,both,lab,changing,,number of acts,7,t,-2.45,6,,0.05,,,,,,,,,,,
"Taylor, JN; Lattanzio, MS",2016,Taylor and Lattanzio 2016,Urosaurus ornatus,vertebrate,yellow,,blue,throat,carotenoid,,mature,males,captivity,year round,,score,76,mean,,,,,,41,3.6,,0.4,2.561249695,35,4.1,,0.5,2.958039892
"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 1,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,,mature,males,captivity,year round,,"approach, bite, chase",20,X2,2.18,2,,0.34,,,,,,,,,,,
"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 2,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,,mature,males,captivity,year round,,wins,20,X2,0.46,1,,0.5,,,,,,,,,,,
"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 1,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,,mature,males,captivity,year round,,number of behaviors,10,F,25.55,1,9.6,0.001,,,,,,,,,,,
"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 2,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,,mature,females,captivity,year round,,number of behaviors,6,F,5.06,1,4.8,0.077,,,,,,,,,,,
"Titone, V; Marsiglia, F; Mangiacotti, M; Sacchi, R; Scali, S; Zuffi, MAL",2018,Titone et al 2018,Podarcis siculus,vertebrate,white,,green,ventral,unknown,,mature,males,captivity,year round,,score,30,F,0.317,1,29,0.58,,,,,,,,,,,
"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 1,Lacerta vivipara,vertebrate,orange,mixed,yellow,ventral,carotenoid,,mature,females,captivity,year round,,scratching time,238,F,0.16,1,233,0.68,,,,,,,,,,,
"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 2,Lacerta vivipara,vertebrate,orange,mixed,yellow,ventral,carotenoid,,mature,females,captivity,year round,,bite attempts,238,X2,3.95,2,,0.14,,,,,,,,,,,
"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 3,Lacerta vivipara,vertebrate,orange,mixed,yellow,ventral,carotenoid,,mature,females,captivity,year round,,flee attempts,231,X2,16.18,1,,0.0001,,,,,,,,,,,
"Williams, LJ; King, AJ; Mettke-Hofmann, C",2012,Williams et al 2012,Erythrura gouldiae,vertebrate,red,,black,head,carotenoid,,mature,both,captivity,year round,,score,40,mean,,,,,,20,2.103,,0.718,3.210993616,20,0.407,,0.222,0.992814182
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 1,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,,mature,males,field,year round,,track high red,140,X2,2.1,2,,0.351,,,,,,,,,,,
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 2,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,,mature,males,field,year round,,track high blue,139,X2,4.25,2,,0.119,,,,,,,,,,,
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 3,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,,mature,males,field,year round,,approach high red,140,X2,2.77,2,,0.25,,,,,,,,,,,
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 4,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,,mature,males,field,year round,,approach high blue,139,X2,1.77,2,,0.412,,,,,,,,,,,
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 5,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,,mature,males,field,year round,,call high red,140,X2,4.16,2,,0.125,,,,,,,,,,,
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 6,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,,mature,males,field,year round,,call high blue,139,X2,0.61,2,,0.736,,,,,,,,,,,
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 7,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,,mature,males,field,year round,,challenge high red,140,X2,2.33,2,,0.312,,,,,,,,,,,
"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 8,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,,mature,males,field,year round,,challenge high blue,139,X2,3.16,2,,0.205,,,,,,,,,,,
"Yewers, MSC; Pryke, S; Stuart-Fox, D",2016,Yewers et al 2016,Ctenophorus decresii,vertebrate,grey,yellow,orange,throat,carotenoid,,mature,males,field,year round,,score,34,F,2.94,3,28.5,0.05,,,,,,,,,,,
"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al 2015 - 1,Gasterosteus aculeatus,vertebrate,no red,,red,throat,carotenoid,,mature,females,captivity,breeding,,bite rate,40,F,0.25,1,39,>0.05,,,,,,,,,,,
"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al 2015 - 2,Gasterosteus aculeatus,vertebrate,no red,,red,throat,carotenoid,,mature,females,captivity,breeding,,lunge,40,F,1.46,1,39,>0.05,,,,,,,,,,,
"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al 2015 - 3,Gasterosteus aculeatus,vertebrate,no red,,red,throat,carotenoid,,mature,females,captivity,breeding,,chase,40,F,0.02,1,39,>0.05,,,,,,,,,,,
"Yong, LX; Lee, B; Mckinnon, JS",2018,Yong et al 2018 - 1,Gasterosteus aculeatus,vertebrate,less red,,more red,throat,carotenoid,,mature,females,captivity,breeding,,bite rate,43,F,0.127,1,38,0.127,,,,,,,,,,,
"Yong, LX; Lee, B; Mckinnon, JS",2018,Yong et al 2018 - 2,Gasterosteus aculeatus,vertebrate,less red,,more red,spine,carotenoid,,mature,females,captivity,breeding,,bite rate,43,F,0.039,1,38,0.84,,,,,,,,,,,
"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 1,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,,mature,males,field,year round,,songs per 10 min,19,mean,,,,,,10,23.516,,,19.68296296,9,1.733,,,7.089382716
"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 2,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,,mature,males,field,year round,,trills per 10 min,19,mean,,,,,,10,0,,,0.24691358,9,0,,,0.49382716
"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 3,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,,mature,males,field,year round,,chips per 10 min,19,mean,,,,,,10,20.846,,,41.38765432,9,16.172,,,19.32790123
"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 4,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,,mature,males,field,year round,,flights per 10 min,19,mean,,,,,,10,7.565,,,9.093333333,9,11.342,,,11.44197531
"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 5,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,,mature,males,field,year round,,time in 5 m (min),19,mean,,,,,,10,10.154,,,0.303703704,9,10.155,,,0.835555556
"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 6,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,,mature,males,field,year round,,time in 2 m (min),19,mean,,,,,,10,7.168,,,4.40691358,9,6.047,,,4.021728395
"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 7,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,,mature,males,field,year round,,latency (min),19,mean,,,,,,10,0.782,,,0.650864198,9,0.977,,,1.08345679
"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 8,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,,mature,males,field,year round,,closest approach (m),19,mean,,,,,,10,0.247,,,0.212839506,9,0.354,,,0.630617284
