X,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
54,"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 2,Gallus gallus domesticus,China,vertebrate,white,,red,body,melanocortin,eumelanin,uncontrolled,Obs,NS,Weight,mature,females,domestic,year round,No,Direct,peak and threat,10,mean,NA,NA,NA,,NA,5,236.6,NA,NA,33.49,5,158.4,NA,NA,45.54,-0.635436684,0.272997303,-0.750482445,0.377964473,2.645751311
55,"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al 2011 - 1,Gallus gallus domesticus,UK,vertebrate,small,,large,comb,melanocortin,eumelanin,uncontrolled,Obs,"Covariate (F1,111 = 0.01, P = 0.91)",Weight and comb size,mature,females,domestic,year round,No,Indirect,dominance score and area,120,F,13.68,1,110,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110608021,0.091492607,0.111062425,0.092450033,10.81665383
56,"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al 2011 - 2,Gallus gallus domesticus,UK,vertebrate,small,,large,comb,melanocortin,eumelanin,uncontrolled,Obs,"Covariate (F1,111 = 0.01, P = 0.91)",Weight and comb size,mature,females,domestic,year round,No,Indirect,dominance score and luminance,120,F,2.75,1,100,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02676399,0.092024485,0.026770383,0.092450033,10.81665383
57,"Horth, L",2003,Horth 2003,Gambusia holbrooki,USA,vertebrate,silver,,black,body,melanocortin,eumelanin,uncontrolled,Exp,"NS (t9 = 0.297, p=0.773)",Length,mature,males,captivity,year round,No,Direct,time,8,t,2.74,7,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901597533,0.176598361,1.480691874,0.447213595,2.236067977
58,"Baube, CL",1997,Baube 1997,Gasterosteus aculeatus,USA,vertebrate,dull red,,bright red,body,carotenoid,N/A,isolated,Exp,Size matched,Weight per length,mature,males,lab,breeding,Plastic,Direct,latency seconds,170,X2,10.741,1,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251361001,0.074674598,0.256865075,0.077382323,12.92284798
59,"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 1,Gasterosteus aculeatus,USA,vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,"Covariate (t = 2.54, P = 0.017 N =33 males, = 4.92, P <0.001, N = 27 females)",Length,mature,males,captivity,year round,No,Direct,number of behaviors,10,F,25.55,1,9.6,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72688478,0.242806126,0.9220903,0.377964473,2.645751311
60,"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 2,Gasterosteus aculeatus,USA,vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,"Covariate (t = 2.54, P = 0.017 N =33 males, = 4.92, P <0.001, N = 27 females)",Length,mature,females,captivity,year round,No,Direct,number of behaviors,6,F,5.06,1,4.8,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513184584,0.429139133,0.567043338,0.577350269,1.732050808
61,"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 1,Gasterosteus aculeatus,USA,vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,Size matched,Weight and length,mature,males,captivity,year round,No,Direct,"approach, bite, chase",20,X2,2.18,2,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33015148,0.222485955,0.342998257,0.242535625,4.123105626
62,"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 2,Gasterosteus aculeatus,USA,vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,Size matched,Weight and length,mature,males,captivity,year round,No,Indirect,wins,20,X2,0.46,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151657509,0.232975917,0.15283653,0.242535625,4.123105626
63,"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al 2015 - 1,Gasterosteus aculeatus,Canada,vertebrate,no red,,red,throat,carotenoid,N/A,isolated 24 hr prior,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Direct,bite rate,40,F,0.25,1,39,>0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006369427,0.16221813,0.006369513,0.164398987,6.08276253
64,"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al 2015 - 2,Gasterosteus aculeatus,Canada,vertebrate,no red,,red,throat,carotenoid,N/A,isolated 24 hr prior,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Direct,lunge,40,F,1.46,1,39,>0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036085022,0.16211577,0.036100697,0.164398987,6.08276253
65,"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al 2015 - 3,Gasterosteus aculeatus,Canada,vertebrate,no red,,red,throat,carotenoid,N/A,isolated 24 hr prior,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Direct,chase,40,F,0.02,1,39,>0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000512558,0.1622214,0.000512558,0.164398987,6.08276253
66,"Yong, LX; Lee, B; Mckinnon, JS",2018,Yong et al 2018 - 1,Gasterosteus aculeatus,USA,vertebrate,less red,,more red,throat,carotenoid,N/A,uncontrolled,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Indirect,bite rate,43,F,0.127,1,38,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003330973,0.156172895,0.003330985,0.158113883,6.32455532
67,"Yong, LX; Lee, B; Mckinnon, JS",2018,Yong et al 2018 - 2,Gasterosteus aculeatus,USA,vertebrate,less red,,more red,spine,carotenoid,N/A,uncontrolled,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Indirect,bite rate,43,F,0.039,1,38,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001025264,0.15617368,0.001025264,0.158113883,6.32455532
68,"McGraw, KJ; Medina-Jerez, W; Adams, H",2007,McGraw et al 2007,Haemorhous mexicanus,USA,vertebrate,light red,,bright red,ventral,carotenoid,N/A,new individuals,Exp,NS,Weight and length,mature,males,captivity,non-breeding,No,Indirect,encounters won,16,t,-1.72,15,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508691599,0.230098249,0.560963012,0.277350098,3.605551275
69,"Dijkstra, PD; van Dijk, S; Groothuis, TGG; Pierotti, MER; Seehausen, O",2009,Dijkstra et al 2009b,Haplochromis paludinosus,Tanzania,vertebrate,plain,orange blotched,black/white blothced,body,melanocortin,eumelanin,isolated,Exp,Size matched,weight,mature,females,lab,year round,No,Indirect,rank,12,X2,9.5,2,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889756521,0.144337567,1.420755955,0.333333333,3
70,"Dijkstra, PD; Hemelrijk, C; Seehausen, O; Groothuis, TGG",2009,Dijkstra et al 2009a,Haplochromis paludinosus,Tanzania,vertebrate,red,,blue,body,unknown,N/A,isolated,Exp,Size matched,weight,mature,males,field,year round,No,Direct,attacks,24,F,8.378,1,12,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41112965,0.194348844,0.436969896,0.21821789,4.582575695
71,"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 1,Lacerta vivipara,France,vertebrate,orange,mixed,yellow,ventral,carotenoid,N/A,isolated,Exp,Covariate,Weight and length,mature,females,captivity,year round,Plastic,Direct,scratching time,238,F,0.16,1,233,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000686224,0.06509444,0.000686224,0.065232807,15.32970972
72,"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 2,Lacerta vivipara,France,vertebrate,orange,mixed,yellow,ventral,carotenoid,N/A,isolated,Exp,Covariate,Weight and length,mature,females,captivity,year round,Plastic,Direct,bite attempts,238,X2,3.95,2,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128827942,0.064552021,0.129547828,0.065232807,15.32970972
73,"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 3,Lacerta vivipara,France,vertebrate,orange,mixed,yellow,ventral,carotenoid,N/A,isolated,Exp,Covariate,Weight and length,mature,females,captivity,year round,Plastic,Direct,flee attempts,231,X2,16.18,1,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264656929,0.063725555,0.271109504,0.066226618,15.09966887
74,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 1,Malurus amabilis,Australia,vertebrate,less blue,,more blue,cheek,structural,N/A,mirror,Exp,Covariate,Length,mature,both,captivity,breeding,No,Indirect,score (attacks + displays),64,t,-2.76,35.6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526185284,0.107997091,0.584855136,0.12803688,7.810249676
75,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 2,Malurus amabilis,Australia,vertebrate,grey,,blue,cheek,structural,N/A,mirror,Exp,Covariate,Length,mature,both,captivity,breeding,No,Indirect,score,64,t,0.34,59.91,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055001002,0.126807887,0.055056564,0.12803688,7.810249676
76,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 3,Malurus amabilis,Australia,vertebrate,blender,,blue,cheek,structural,N/A,mirror,Exp,Covariate,Length,mature,both,captivity,breeding,No,Indirect,score,64,t,-2.47,59.62,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381860855,0.117376035,0.402236365,0.12803688,7.810249676
77,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 4,Malurus amabilis,Australia,vertebrate,blender,,grey,cheek,structural,N/A,mirror,Exp,Covariate,Length,mature,both,captivity,breeding,No,Indirect,score,64,t,-2.29,60,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355324209,0.118712495,0.371524217,0.12803688,7.810249676
78,"Barron, DG; Webster, MS; Schwabl, H",2015,Barron et al 2015,Malurus melanocephalus,Australia,vertebrate,auk,brown,red/black,body,carotenoid,N/A,dummy used,Exp,Size matched,Length,mature,males,field,breeding,No,Indirect,territorality PC,48,F,3.18,1,44,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067401441,0.147106664,0.067503788,0.149071198,6.708203932
79,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 1,Manacus candei,Panama,vertebrate,white,,golden,collar and belly,carotenoid,N/A,dummy used,Exp,uncontrolled,None measured,mature,males,field,breeding,No,Direct,attack,34,mean,NA,NA,NA,,NA,17,5.9,NA,NA,16.6,17,23.5,NA,NA,31.2,0.161131845,0.174466735,0.162548494,0.179605302,5.567764363
80,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 2,Manacus vitellinus,Panama,vertebrate,white,lemon,,collar and belly,carotenoid,N/A,dummy used,Exp,uncontrolled,None measured,mature,males,field,breeding,No,Direct,attack,34,mean,NA,NA,NA,,NA,17,5.9,NA,NA,16.6,17,26.5,NA,NA,35.9,0.185131719,0.173720883,0.18729136,0.179605302,5.567764363
81,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 3,Manacus vitellinus,Panama,vertebrate,,lemon,golden,collar and belly,carotenoid,N/A,dummy used,Exp,uncontrolled,None measured,mature,males,field,breeding,No,Indirect,calls,34,mean,NA,NA,NA,,NA,17,383.1,NA,NA,151.5,17,195.9,NA,NA,80.2,-0.196220934,0.173340105,-0.198799103,0.179605302,5.567764363
82,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 4,Manacus vitellinus,Panama,vertebrate,white,lemon,,collar and belly,carotenoid,N/A,dummy used,Exp,uncontrolled,None measured,mature,males,field,breeding,No,Indirect,calls,34,mean,NA,NA,NA,,NA,17,199.8,NA,NA,111.2,17,383.1,NA,NA,151.5,0.253443916,0.171004951,0.259089715,0.179605302,5.567764363
83,"Beck, ML; Davies, S; Sewall, KB",2018,Beck et al 2018 - 1,Melospiza melodia,USA,vertebrate,light brown,,dark brown,body,melanocortin,eumelanin,speaker only,Exp,Covariate,Scaled mass index,mature,males,field,breeding,No,Indirect,PC x darkness,67,F,0.286,1,30,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009443307,0.124029204,0.009443588,0.125,8
84,"Beck, ML; Davies, S; Sewall, KB",2018,Beck et al 2018 - 2,Melospiza melodia,USA,vertebrate,light brown,,dark brown,body,melanocortin,eumelanin,speaker only,Exp,Covariate,Scaled mass index,mature,males,field,breeding,No,Indirect,PC x area,67,F,0.592,1,30,0.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019351464,0.124011508,0.019353881,0.125,8
85,"Hooper, RE; Plaistow, SJ; Tsubaki, Y",2006,Hooper et al 2006,Mnais costalis,Japan,invertebrate,clear,,orange,wings,carotenoid,N/A,dummy used,Exp,uncontrolled,Length,mature,males,field,year round,Plastic,Direct,time,56,F,8.11,1,55,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128505784,0.134954469,0.129220246,0.137360564,7.280109889
86,"Carola, V; Perlas, E; Zonfrillo, F; Soini, HA; Novotny, MV; Gross, CT",2014,Carola et al 2014,Mus musculus,USA,vertebrate,non-agouti,,agouti,body,melanocortin ,pheomelanin,new individuals,Exp,uncontrolled,None measured,mature,both,domestic,year round,No,Direct,number of attacks,20,F,-5.4,1,18,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.428571429,0.212958855,-0.458145366,0.242535625,4.123105626
87,"Franklin, AM; Donatelli, CM; Culligan, CR; Tytell, ED",2019,Franklin et al 2019,Neogonodactylus oerstedii,Local Suppliers,invertebrate,light meral spots,,dark meral spots,legs,carotenoid,N/A,isolated,Exp,Covariate,Length,mature,both,lab,year round,No,Indirect,strike force,18,X2,5.44,1,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549747417,0.208832735,0.618019259,0.25819889,3.872983346
88,"Balzarini, V; Taborsky, M; Villa, F; Frommen, JG",2017,Balzarini et al 2017 - 1,Neolamprologus pulcher,Tanzania,vertebrate,no stripes,light stripes,dark stripes,body,melanocortin,eumelanin,video - housed together,Exp,"NS (F= 1.4, p=0.248 and controlled in stats)",Length,mature,both,captivity,year round,No,Direct,overt acts,28,X2,6.84,2,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494252683,0.170487343,0.541672156,0.2,5
89,"Balzarini, V; Taborsky, M; Villa, F; Frommen, JG",2017,Balzarini et al 2017 - 2,Neolamprologus pulcher,Tanzania,vertebrate,no stripes,light stripes,dark stripes,body,melanocortin,eumelanin,video - housed together,Exp,"NS (F= 1.4, p=0.248 and controlled in stats)",Length,mature,both,captivity,year round,No,Direct,restrained acts,28,X2,0.061,2,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046675169,0.195902392,0.046709109,0.2,5
90,"Crothers, LR; Cummings, ME",2015,Crothers and Cummings 2015,Oophaga pumilio,Panama,vertebrate,light red,,bright red,body,carotenoid,N/A,uncontrolled,Exp,Size matched,Length,mature,males,field,year round,No,Indirect,call latency (sec),21,X2,4.26,1,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.450396651,0.204828922,0.485197757,0.23570226,4.242640687
91,"Crothers, L; Gering, E; Cummings, M",2011,Crothers et al 2011,Oophaga pumilio,Panama,vertebrate,dull,,bright,dorsal,carotenoid,N/A,isolated,Exp,Covariate,Weight and length,mature,males,captivity,year round,No,Indirect,approach,75,F,5.9355,1,74,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074253617,0.116718042,0.074390538,0.11785113,8.485281374
92,"Rudh, A; Breed, MF; Qvarnstrom, A",2013,Rudh et al 2013,Oophaga pumilio,Panama,vertebrate,green,,red,body,carotenoid,N/A,mirror,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,score,70,mean,NA,NA,NA,,NA,35,0.438,NA,0.225,1.331117951,35,0.745,NA,0.052,0.307636149,0.025133273,0.121229505,0.025138567,0.122169444,8.185352772
93,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 1,Oophaga pumilio,Panama,vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,track high red,140,X2,2.1,2,NA,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122474487,0.084484798,0.123092431,0.085435766,11.70469991
94,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 2,Oophaga pumilio,Panama,vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,track high blue,139,X2,4.25,2,NA,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174858627,0.084119504,0.176674185,0.085749293,11.66190379
95,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 3,Oophaga pumilio,Panama,vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,approach high red,140,X2,2.77,2,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140661702,0.08427931,0.14160057,0.085435766,11.70469991
96,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 4,Oophaga pumilio,Panama,vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,approach high blue,139,X2,1.77,2,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112844198,0.084890061,0.11332687,0.085749293,11.66190379
97,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 5,Oophaga pumilio,Panama,vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,call high red,140,X2,4.16,2,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172378321,0.083851392,0.174116789,0.085435766,11.70469991
98,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 6,Oophaga pumilio,Panama,vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,call high blue,139,X2,0.61,2,NA,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066245673,0.085248093,0.066342835,0.085749293,11.66190379
99,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 7,Oophaga pumilio,Panama,vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,challenge high red,140,X2,2.33,2,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129007198,0.084414314,0.129730113,0.085435766,11.70469991
100,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 8,Oophaga pumilio,Panama,vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,challenge high blue,139,X2,3.16,2,NA,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150777362,0.084459042,0.151935786,0.085749293,11.66190379
101,"Rodriguez-Barreto, D; Rey, O; Uren-Webster, TM; Castaldo, G; Consuegra, S; de Leaniz, CG",2019,Rodriguez-Barreto et al 2019,Oreochromis niloticus,Local Suppliers,vertebrate,lighter,,darker,body,carotenoid,N/A,mirror,Exp,uncontrolled,Density in rearing tank,mature,both,lab,year round,Plastic,Direct,number of interactions,120,mean,NA,NA,NA,,NA,60,28.63,NA,5.93,45.93358249,60,7.11,NA,2.09,16.18907039,-0.038506316,0.091989188,-0.038525364,0.092450033,10.81665383
102,"Moore, MP; Martin, RA",2016,Moore and Martin 2016,Pachydiplax longipennis,USA,invertebrate,less black,,more black,wing tips,melanocortin,eumelanin,uncontrolled,Obs,"NS (r = -0.09, t114 = -0.96, p = 0.339)",Length,mature,males,field,year round,No,Direct,contests won,155,X2,6.5,1,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204781552,0.079131913,0.207718345,0.081110711,12.32882801
103,"McGraw, KJ; Dale, J; Mackillop, EA",2003,McGraw et al 2003,Passer domesticus,USA,vertebrate,small size,,large size,body,melanocortin,eumelanin,uncontrolled,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,No,Indirect,rankinteraction rate,42,F,4.05,1,42,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087947883,0.157501204,0.088175695,0.160128154,6.244997998
104,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 1,Pelvicachromis pulcher,Local Suppliers,vertebrate,yellow,,red,ventral,unknown,N/A,isolated and mirror,Exp,uncontrolled,None measured,mature,males,lab,year round,No,Direct,number of charges,85,mean,NA,NA,NA,,NA,70,6.703,NA,NA,1.058,15,9.937,NA,NA,3.293,0.204405247,0.107446736,0.207325601,0.110431526,9.055385138
105,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 2,Pelvicachromis pulcher,Local Suppliers,vertebrate,yellow,,red,ventral,unknown,N/A,isolated and mirror,Exp,uncontrolled,None measured,mature,males,lab,year round,No,Direct,number of lateral displays,85,mean,NA,NA,NA,,NA,70,3.468,NA,NA,0.803,15,1.783,NA,NA,0.431,-0.142637582,0.108641919,-0.143616908,0.110431526,9.055385138
106,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 3,Pelvicachromis pulcher,Local Suppliers,vertebrate,yellow,,red,ventral,unknown,N/A,isolated and mirror,Exp,uncontrolled,None measured,mature,males,lab,year round,No,Direct,number of tail beats,85,mean,NA,NA,NA,,NA,70,4.645,NA,NA,0.941,15,9.761,NA,NA,3.47,0.354643215,0.10262977,0.370745035,0.110431526,9.055385138
