,Authors,Publication.Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,Fisher_Z,SE,Weight
1,"BRACE, RC",1981,Brace 1981 - 1,Phymactis clematis,invertebrate,green,,red,ventral,carotenoid,N/A,mature,both,captivity,year round,No,first aggressor,29,X2,4.17,1,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379200611,0.399125679,0.196116135,5.099019514
2,"BRACE, RC",1981,Brace 1981 - 2,Phymactis clematis,invertebrate,green,,red,ventral,carotenoid,N/A,mature,both,captivity,year round,No,first attacker,18,X2,0.22,1,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11055416,0.111007898,0.25819889,3.872983346
3,"BRACE, RC",1981,Brace 1981 - 3,Phymactis clematis,invertebrate,green,,red,ventral,carotenoid,N/A,mature,both,captivity,year round,No,winner,14,X2,2.57,1,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428452364,0.457999521,0.301511345,3.31662479
4,"Cross, FR; Jackson, RR; Taylor, LA",2020,Cross et al 2020,Evarcha culicivora,invertebrate,black,,bright red,face,melanocortin,pheomelanin,mature,males,captivity,year round,Plastic,wilcoxon,11,t,3.52,10,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743895167,0.959144815,0.353553391,2.828427125
5,"Petrocelli, I; Ricciardi, G; de Souza, AR; Ermanni, A; Ninu, A; Turillazzi, S",2015,Petrocelli et al 2015,Polistes gallicus,invertebrate,small black,,large black,head,melanocortin,eumelanin,mature,females,captivity,year round,No,dominance,42,X2,4.011,1,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309030743,0.319473459,0.160128154,6.244997998
6,"Moore, MP; Martin, RA",2016,Moore and Martin 2016,Pachydiplax longipennis,invertebrate,less black,,more black,wing tips,melanocortin,eumelanin,mature,males,field,year round,No,contests won,155,X2,6.5,1,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204781552,0.207718345,0.081110711,12.32882801
7,"Hooper, RE; Plaistow, SJ; Tsubaki, Y",2006,Hooper et al 2006,Mnais costalis,invertebrate,clear,,orange,wings,carotenoid,N/A,mature,males,field,year round,Plastic,time,56,F,5.75,2,55,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172932331,0.174687821,0.137360564,7.280109889
8,"Franklin, AM; Donatelli, CM; Culligan, CR; Tytell, ED",2019,Franklin et al 2019,Neogonodactylus oerstedii,invertebrate,light meral spots,,dark meral spots,legs,unknown,N/A,mature,both,lab,year round,No,strike,18,X2,5.44,1,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549747417,0.618019259,0.25819889,3.872983346
9,"Bailey, A; Eberly, LE; Packer, C",2015,Bailey et al 2015,Papio anubis,vertebrate,light grey,,dark grey,body,melanocortin,eumelanin,mature,females,captivity,breeding,No,rank,30,X2,1.8,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244948974,0.250032246,0.19245009,5.196152423
10,"Carola, V; Perlas, E; Zonfrillo, F; Soini, HA; Novotny, MV; Gross, CT",2014,Carola et al 2014,Mus musculus,vertebrate,agouti,,non-agouti,body,melanocortin ,pheomelanin,mature,both,domestic,year round,No,number of attacks,20,F,5.4,1,18,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230769231,0.235001815,0.242535625,4.123105626
11,"Cassidy, KA; Mech, LD; MacNulty, DR; Stahler, DR; Smith, DW",2017,Cassidy et al 2017,Canis lupus familiaris,vertebrate,grey,,black,body,melanocortin,eumelanin,mature,both,field,year round,No,attack/chase,53,t,2.57,52,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335711454,0.34925137,0.141421356,7.071067812
12,"Kim, YK; Lee, SS; Oh, SI; Kim, JS; Suh, EH; Houpt, KA; Lee, HC; Lee, HJ; Yeon, SC",2010,Kim et al 2010,Canis lupus familiaris,vertebrate,white,,fawn,body,melanocortin,pheomelanin,both,both,domestic,year round,No,,52,F,0.198,1,51,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003867339,0.003867358,0.142857143,7
13,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 1,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,strange dogs,428,t,2.582,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123987581,0.124628857,0.048507125,20.61552813
14,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 10,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,when in restricted spaces,423,t,2.4,422,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116040918,0.116566017,0.048795004,20.49390153
15,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 11,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,meal times,426,t,3.492,425,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167007935,0.168587158,0.048621664,20.5669638
16,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 12,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,no reason,428,t,3.643,427,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173619663,0.175396429,0.048507125,20.61552813
17,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 3,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,approaching owner away from home,426,t,2.774,425,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133356897,0.134155983,0.048621664,20.5669638
18,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 4,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,toward children,142,t,3.365,141,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272647805,0.279722042,0.084818893,11.78982612
19,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 6,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,attention on others in house,425,t,3.336,424,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159925265,0.161309999,0.048679238,20.54263858
20,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 7,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,toward owner or family,428,t,4.988,427,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234646897,0.239101498,0.048507125,20.61552813
21,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 8,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,when disciplined,427,t,4.524,426,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214105646,0.217470309,0.048564293,20.59126028
22,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 9,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,when reached for or handled,428,t,3.161,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151212534,0.152381112,0.048507125,20.61552813
23,"Mafli A, Kazumasa Wakamatsu, Alexandre Roulin",2011,Mafli et al 2011,Testudo hermanni,vertebrate,light,,dark,shell,melanocortin,pheomelanin,mature,males,captivity,year round,Plastic,index,23,r,NA,NA,NA,0.0001,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.847955755,0.223606798,4.472135955
24,"Boerner, M; Kruger, O",2009,Boerner and Kruger 2009,Buteo buteo,vertebrate,light,intermediate,dark,body,melanocortin,eumelanin,mature,both,field,breeding,No,score,42,F,3.306,2,51,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114767757,0.11527567,0.160128154,6.244997998
25,"Rose, P; Soole, L",2020,Rose and Soole 2020,Phoenicoparrus minor,vertebrate,white,,pink,body,carotenoid,N/A,mature,both,captivity,year round,Plastic,seconds,45,F,6.45,4,40,0.00004,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392097264,0.414275909,0.15430335,6.480740698
26,"Barron, DG; Webster, MS; Schwabl, H",2015,Barron et al 2015,Malurus melanocephalus,vertebrate,brown,,black,body,melanocortin,eumelanin,mature,males,field,breeding,No,territorality,48,F,4.03,1,44,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083905892,0.084103633,0.149071198,6.708203932
27,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 1,Malurus amabilis,vertebrate,less blue,,more blue,cheek,unknown,N/A,mature,both,captivity,year round,No,score (attacks + displays),64,t,-2.76,35.6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419835114,0.447491839,0.12803688,7.810249676
28,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 2,Malurus amabilis,vertebrate,grey,,blue,cheek,unknown,N/A,mature,both,captivity,year round,No,score,64,t,0.34,59.91,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04388445,0.043912654,0.12803688,7.810249676
29,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 3,Malurus amabilis,vertebrate,blender,,blue,cheek,unknown,N/A,mature,both,captivity,year round,No,score,64,t,-2.47,59.62,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304680881,0.314671425,0.12803688,7.810249676
30,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 4,Malurus amabilis,vertebrate,blender,,grey,cheek,unknown,N/A,mature,both,captivity,year round,No,score,64,t,-2.29,60,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283507701,0.29149225,0.12803688,7.810249676
31,"Pryke, SR; Griffith, SC",2009,Pryke and Griffith 2009,Erythrura gouldiae,vertebrate,black,,red,face,carotenoid,N/A,juvenile,females,lab,year round,Plastic,time,76,F,14.32,1,75,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160322436,0.161717621,0.117041147,8.544003745
32,"Williams, LJ; King, AJ; Mettke-Hofmann, C",2012,Williams et al 2012,Erythrura gouldiae,vertebrate,red,,black,head,carotenoid,N/A,mature,both,captivity,year round,Plastic,score,40,mean,NA,NA,NA,,NA,20,2.103,NA,0.718,3.210993616,20,0.407,NA,0.222,0.992814182,0.336064124,0.349648888,0.164398987,6.08276253
33,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 1,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar brightness,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,33,r,NA,NA,NA,NS,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23,-0.234189467,0.182574186,5.477225575
34,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 2,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar hue,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,33,r,NA,NA,NA,0.001,-0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47,-0.510070337,0.182574186,5.477225575
35,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 3,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar chroma,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,33,r,NA,NA,NA,NS,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,-0.140925576,0.182574186,5.477225575
36,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 4,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar area,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,43,r,NA,NA,NA,0.001,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,-0.775298706,0.158113883,6.32455532
37,"Jawor, JM; Gray, N; Beall, SM; Breitwisch, R",2004,Jawor et al 2004,Cardinalis cardinalis,vertebrate,light brown,,dark brown,face,melanocortin,pheomelanin,mature,females,field,year round,No,,22,r,NA,NA,NA,0.05,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.13073985,0.229415734,4.358898944
38,"Hasegawa, M; Ligon, RA; Giraudeau, M; Watanabe, M; McGraw, KJ",2014,Hasegawa et al 2014,Haemorhous mexicanus,vertebrate,drab,,colorful,body,carotenoid,N/A,mature,males,captivity,breeding,No,score,4,t,-0.98,3,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.492443659,0.539281187,1,1
39,"McGraw, KJ; Medina-Jerez, W; Adams, H",2007,McGraw et al 2007,Haemorhous mexicanus,vertebrate,light red,,bright red,ventral,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,encounters won,16,t,-1.72,15,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405877173,0.430665316,0.277350098,3.605551275
40,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 1,Serinus serinus,vertebrate,less yellow,,more yellow,head,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,score (attacks + displays),28,F,9.977,1,17,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369833562,0.388230276,0.2,5
41,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 2,Serinus serinus,vertebrate,less yellow,,more yellow,chest,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,score (attacks + displays),28,F,0.82,1,17,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046015713,0.046048233,0.2,5
42,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 3,Serinus serinus,vertebrate,less yellow,,more yellow,throat,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,score (attacks + displays),28,F,0.793,1,17,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044568089,0.044597633,0.2,5
43,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 4,Serinus serinus,vertebrate,less yellow,,more yellow,belly,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,score (attacks + displays),28,F,0.001,1,17,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88E-05,5.88E-05,0.2,5
44,"McGraw, KJ; Dale, J; Mackillop, EA",2003,McGraw et al 2003,Passer domesticus,vertebrate,small size,,large size,body,melanocortin,eumelanin,mature,males,captivity,non-breeding,Plastic,rankinteraction rate,42,F,4.05,1,42,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087947883,0.088175695,0.160128154,6.244997998
45,"Chaine, AS; Lyon, BE",2008,Chaine and Lyon 2008,Calamospiza melanocorys,vertebrate,light,,dark,wings,melanocortin,eumelanin,mature,males,field,breeding,No,territorial,369,t,2.84,368,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146449042,0.147509705,0.052270837,19.13112647
46,"Collins, CE; Houtman, AM",1999,Collins and Houtman 1999 - 1,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,full songs,41,t,1.09,40,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169840249,0.171502163,0.162221421,6.164414003
47,"Collins, CE; Houtman, AM",1999,Collins and Houtman 1999 - 2,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,pinked,41,t,0.28,40,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044228564,0.044257438,0.162221421,6.164414003
48,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 1,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,pheomelanin,mature,males,captivity,year round,No,vocal aggression score,31,mean,NA,NA,NA,,NA,14,-0.67,NA,0.36,1.346996659,17,0.11,NA,0.01,0.041231056,-0.378774687,-0.398628319,0.188982237,5.291502622
49,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 2,Zonotrichia albicollis,vertebrate,white,,tan,throat,melanocortin,pheomelanin,mature,males,captivity,year round,No,physical aggression score,31,mean,NA,NA,NA,,NA,14,0.01,NA,0.31,1.15991379,17,0.01,NA,0.36,1.484318025,0,0,0.188982237,5.291502622
